car,89,-5030,145,11021
car,862,-6507,173,14220
car,272,-6175,135,13413
car,519,-10749,321,23515
car,992,-8237,193,17960
car,638,-9239,402,20149
car,1301,-7007,190,15263
car,1998,-1327,321,3511
car,445,-1604,315,4055
car,2153,-1314,275,3347
car,562,-7697,176,16778
pedestrian,867,-21,186,2569
car,1816,-1212,314,3218
pedestrian,2433,-365,185,2453
pedestrian,137,-432,172,2622
car,415,-6084,234,13807
people,278,71,198,2280
car,416,-453,255,1631
car,1964,-5832,129,12670
people,1583,-82,203,2692
people,1793,-122,190,2886
pedestrian,657,-151,111,1364
people,1469,71,182,2275
